TF,std,mean
PCGF2,216.15912154799844,455.15
FLYWCH1,320.7038749787466,727.3176470588236
RBPJL,309.4778047535643,818.1970588235295
GLMP,336.74155237262664,744.2294117647059
NR2E1,280.79141454703984,668.6235294117647
TOPORS,334.9871975983869,697.0588235294117
ZNF706,280.0587455336436,880.182941176471
ZNF598,297.6401868147245,803.7907647058823
KMT2B,225.06143338911855,404.38235294117646
WIZ,267.569594970609,776.0025294117648
HEY1,272.54092949739726,650.7717647058826
HAND2,256.33779130535015,681.3217647058825
FBXL19,322.4413514587197,791.5823529411765
ZNF639,196.21726944576113,592.7523529411772
MAZ,163.63833833293276,496.7329411764706
TBP,120.26809213328836,357.5470588235294
ZIC5,240.60614570176807,740.2323529411766
SGSM2,342.7130840759766,728.7382352941177
ZNF410,284.76332792565626,716.3933529411764
MTERF3,347.1869165086423,795.1941176470589
ZNF488,315.0442819525849,613.2264705882353
ZNF98,298.937598490901,810.1911764705881
NFYB,171.13002335604114,442.4176470588236
FOXS1,297.65223596215156,735.0364705882351
RFX1,203.9356974815214,673.9870588235303
POU5F1B,320.16348101727203,814.5470588235294
HSF1,125.64290981441886,423.5294117647058
INSM1,280.7003440789279,741.5223529411763
KCNIP3,355.6317869398135,635.2323529411765
NEUROD1,199.48355658479764,610.7811764705891
MEOX1,338.07786699604657,687.7186470588236
ZNF418,261.390749677672,687.1335294117647
ZNF618,286.65134030972354,688.9110000000001
KDM5B,127.31321651423094,399.9588235294116
ZNF74,255.44606182774996,742.7223529411763
THAP5,270.08167733694853,738.6892352941177
DACH1,214.2912392939846,535.1351176470588
ZIC3,199.14010203129467,594.3276470588245
GATA5,297.06444760343476,688.6623529411764
ZNF428,272.2200645633165,673.9521764705883
ELK1,126.69040615408201,383.7705882352941
PRDM8,271.1744042012608,626.0117647058826
ARGFX,257.31342446320247,842.164117647059
HMGN3,187.91151478592332,476.8611764705888
ZFPM1,261.0596493057652,785.3611764705882
ZBED4,277.10959018689124,831.2170588235292
SP5,256.2321352383132,679.9488235294118
ZNF587,276.7088418519856,745.1364705882355
SOX12,267.88048690903236,769.7276470588235
TBPL1,312.30387349157553,911.635294117647
FEV,312.7116705128029,760.7919411764705
ZIC2,229.5456466734182,735.9152941176468
ZNF556,268.6910478095427,797.9847058823531
ZNF727,318.70016880812796,776.2058823529412
HEYL,315.5180225534438,674.687
