Kinase,std,mean
TNK1,102.70338981715192,251.1026470588236
TGFBR1,46.38326472377492,155.39311764705897
TGFBR2,39.01055470000508,145.67352941176472
ERBB3,47.42920579993293,149.38129411764695
ACVRL1,79.55408456576203,225.66929411764704
EPHB2,55.029696157646775,205.99229411764702
EPHA3,52.87690719821453,188.32105882352928
PDGFRA,58.12907952737866,179.26947058823512
ZAP70,42.200004843261816,144.39352941176477
ALK,50.05721907933105,173.14423529411772
NTRK1,44.0081387032355,145.33864705882348
ACVR2B,63.33555830846007,204.14070588235288
EPHB4,64.19549072162778,247.99594117647067
KIT,53.77401339241734,153.40394117647057
PINK1,59.35342555204017,188.45082352941165
PAK1,34.4538283638836,128.0006470588236
EPHB3,68.83378829307736,259.3054117647059
ABL1,35.73656567476709,115.7885294117647
EPHA1,55.321719061723925,210.79623529411765
EGFR,35.433357252722956,114.56488235294115
INSR,38.50742459796703,138.50894117647064
FGFR1,38.86050057320236,145.30358823529417
HCK,41.18416907998643,142.60017647058822
ITK,42.37662075200435,164.03982352941182
FYN,38.65832715387765,114.54235294117647
NTRK2,60.54782314827783,202.1884117647058
FGFR2,41.17697739159046,153.3605882352941
RET,42.65780181785136,146.66947058823536
AKT1,31.254752633573478,106.17694117647055
SRC,34.96511310593695,105.1914705882353
PTK2B,39.185255948623535,143.03329411764705
EPHA4,66.24339368912301,215.9639411764706
NLK,52.06725080446289,187.24823529411762
STK19,110.56529057208658,361.94
TTN,59.00510425574903,166.8984117647058
SYK,35.64501568618481,123.40747058823526
EPHA6,82.09916792884337,267.1273529411767
ERBB2,39.383870167582046,135.19882352941184
JAK3,44.829182945689965,167.33882352941177
GRK2,39.66383965031347,148.93641176470592
AATK,68.54000546732173,215.4823529411766
PKN3,64.88747720114195,232.43647058823532
MAP3K7,35.4337984954018,131.41547058823534
IKBKE,42.43624185013776,151.60205882352938
JAK1,45.03433033207063,156.4470588235295
ROCK2,42.539265389702955,196.1564705882353
PTK2,40.22632402719256,129.88141176470583
NTRK3,59.08606715446635,193.86158823529416
ROCK1,39.02415650637131,154.0808235294117
ACVR2A,71.06789365517571,203.53776470588235
PRKCA,39.241047552901506,124.227705882353
CSNK1E,40.08529680264763,138.4316470588235
EPHB6,66.77125447493057,251.58352941176486
CSK,36.838659087179806,147.75882352941176
TEC,57.12100649818612,191.43135294117647
KDR,53.01267358867915,163.91547058823534
TNIK,61.7070872785313,225.62488235294106
ULK1,49.561948579070254,176.81529411764708
GRK5,52.682815495681666,190.68829411764722
