Kinase,std,mean
STK25,51.50154662014839,195.3545882352941
CDK4,39.00796547931414,128.78158823529412
FER,53.76140079774859,200.95605882352942
LCK,36.52598720259674,119.87499999999993
YES1,37.80035001877552,149.74923529411757
PIK3CA,47.15566087301022,153.3277647058825
CAMK2A,41.17031771269042,148.83470588235292
TYK2,37.23379688878517,163.72188235294118
ACVR1,50.63561826459651,171.0380588235294
GSK3B,35.25222432624344,118.41041176470591
JAK2,36.961660936698216,125.49317647058825
CDK2,35.22256218225627,127.57505882352936
MAST3,82.5509955903325,226.71294117647057
CHEK2,41.35000568016153,139.6471176470588
PDGFRB,43.8774668055069,145.74752941176467
RYK,72.4429784326557,196.8833529411764
CSNK1D,45.29883885872994,155.31294117647062
PRKCZ,34.5060636642275,128.98152941176463
DCLK2,78.3428009131992,341.45352941176515
BMPR2,48.295158511229495,179.68323529411757
LYN,38.840793915424904,127.80117647058825
IGF1R,35.33117375043408,145.95676470588242
PDPK1,39.9590752880592,147.58941176470594
PRKCI,36.365506757262374,141.5010588235294
ABL2,42.98863614789262,161.95011764705882
BTK,39.297429950089786,140.63870588235295
TRIB3,41.43247322985822,179.57547058823533
PIM1,45.58546016996061,168.97529411764708
PAK6,61.33098710033702,211.30076470588241
BMPR1B,55.30199068368281,187.70417647058815
PHKG2,70.14860994986051,221.77882352941185
STK11,34.52081609941828,148.0011764705883
FLT1,54.38896852498653,204.58064705882353
STK24,49.40066226894648,177.9575882352942
CSNK2A2,42.428789263553604,149.46882352941182
GSK3A,36.16641447084564,155.6070588235294
EIF2AK2,39.028579969349984,162.07988235294124
CSNK2A1,43.415303685895495,125.0369411764706
ATM,40.05973589324333,129.79852941176463
PRKAA1,38.28864841287908,143.73058823529408
TBK1,39.93932894083655,133.98370588235295
CIT,74.86130916168459,239.1586470588236
PAK2,36.900286417577696,147.86041176470593
MOS,66.8341439952785,249.84770588235287
MAPK10,48.505830183413096,166.45941176470578
MET,42.07636909017624,160.15947058823537
AKT2,40.40261247769289,153.04235294117643
ACVR1B,53.838553562809146,184.62770588235284
MAPK14,38.14312186987074,126.59823529411761
HIPK2,44.37481005068593,155.78535294117646
FLT3,56.1410612837346,203.97135294117655
MAPK13,46.38508018256876,189.57164705882363
BMX,40.89705381978245,182.79352941176472
AXL,50.98188430496727,210.86758823529397
LMTK3,105.69025451317741,282.4294117647059
ERBB4,45.05664522762561,167.09205882352938
MAPK1,35.588854765292,112.91252941176474
RIPK2,45.06520890832055,167.5141176470588
IRAK3,54.450938462943874,208.46617647058818
ILK,36.51304147809664,140.78764705882352
CAMK2B,49.01371400663268,205.16752941176463
MAPK3,32.48059172344595,120.15941176470588
FGFR4,45.360762552629915,164.14641176470585
MAP4K1,64.4483355069287,207.9991764705882
TNNI3K,63.32960262405497,261.1660000000002
CDK5,36.873472928269926,136.0896470588235
PRKACA,34.71559110842934,126.04270588235295
IRAK1,40.809813528911555,157.82882352941172
CDK6,42.91206047505883,151.03647058823532
CAMKK2,51.11093261594394,209.99329411764703
LTK,77.42313983988376,291.38823529411746
BMPR1A,44.152830600678506,160.7876470588236
CHEK1,41.58777959584396,143.68205882352945
NEK9,56.458029335266914,201.199294117647
MAPK8,34.76739008081674,121.1784705882353
EPHA2,42.32299584203486,184.06323529411756
BMP2K,63.053751810132574,242.28705882352952
NEK4,59.039083833116955,218.51270588235283
MAP3K11,48.90822023559327,184.5158823529412
KALRN,72.82646080696658,236.57899999999995
SCYL2,52.47826235806426,214.92076470588242
RIPK1,53.76107954916533,161.28329411764705
ACVR1C,78.3407995408143,260.60029411764714
FGR,43.26820362782878,174.56470588235297
EPHB1,66.4470333918303,246.34041176470572
EIF2AK3,61.2404796833049,240.70141176470588
FES,49.315029081227195,196.31117647058812
IKBKB,39.75189241977929,135.34358823529413
GRK3,59.80583340024805,270.32700000000017
CSNK1A1,36.98571176261909,138.14229411764708
ARAF,38.52781410958389,165.68223529411762
CAMK4,56.5484828898693,216.80811764705882
MTOR,34.30460834321859,131.77670588235287
RAF1,34.52356688963574,134.15752941176476
MATK,61.67714802467813,221.0650588235293
CDC7,55.95774994624611,199.03628823529405
PRKCD,32.03423664863862,138.37082352941178
PIK3C2B,69.90673255447389,237.15364705882342
PRKCQ,43.69720720489848,164.60764705882343
DDR1,52.7372789042057,191.68841176470573
NEK2,43.984105933688575,157.3116470588234
LRRK2,46.34986771849251,166.819411764706
EPHA5,74.0289216137458,291.8111764705883
MARK2,43.162596600985054,172.30247058823534
ROR2,56.52848151151694,207.47588235294123
TTK,43.09945314598285,182.6562352941176
STK3,45.40278849975821,167.5707647058823
TRPM7,63.11215777225795,249.808705882353
CDK1,40.964939297566694,129.53705882352938
STK26,48.54226980922724,216.2894117647059
MST1R,57.80869755266776,219.90347058823522
GRK6,52.01799316669997,214.28252941176476
MAP3K5,41.609963133653316,150.70829411764703
CDC42BPA,66.96531745351352,229.6136470588235
NEK6,39.38900553515385,162.69058823529406
PLK4,59.980960915928904,205.97470588235294
PRKCB,40.91957517848917,150.58058823529413
MAP2K1,36.57678731393507,144.55570588235298
RPS6KB1,37.40840597240745,137.86800000000005
PRKAA2,45.149382170208575,157.17494117647047
DYRK1A,45.46217286324933,168.30682352941176
TXK,71.40645886954135,249.65476470588243
CDK3,45.868843382490866,170.7476470588236
BUB1,48.36046163874972,156.23529411764707
FLT4,65.74450940559409,217.0270000000001
PRKDC,37.09962481790024,131.638705882353
PRKCE,43.26743388526368,158.36411764705878
LATS2,49.26726646869702,179.8027058823529
CLK2,56.308123690611964,186.45641176470588
PKN1,41.757958067368946,168.21823529411762
TAOK2,79.2390999073569,273.6648823529411
DAPK1,44.22665232872659,178.85564705882345
CDK9,40.83995459871961,143.08317647058828
PLK1,36.45544094541838,133.77217647058816
WNK1,47.29045345328814,200.1305882352942
PRKD1,47.24390083785006,177.25411764705882
CSNK1G2,54.19317007817657,232.18311764705874
MAPK12,41.71777087635137,188.50882352941167
PKN2,55.11761420217104,196.05547058823518
AURKA,39.52506621377027,133.72770588235304
MAPK9,39.50112505942923,149.87352941176468
VRK2,73.93222169445495,244.7902352941177
RPS6KB2,43.30012692433783,177.21441176470586
STK10,78.21469413097572,316.02352941176474
MAP3K1,41.08505300687578,158.89411764705883
CHUK,41.764942368792624,143.78176470588235
PRKCG,44.2466500821769,167.2542352941177
STK16,56.076443876351604,197.12841176470582
DYRK1B,45.77344293865229,189.86194117647068
CDK11B,59.90637342878878,199.1696470588234
PI4KA,64.33392327392156,227.16882352941167
CSNK1G3,58.949357756311954,233.55999999999986
SGK2,71.61790204128427,253.09647058823535
STKLD1,116.02225337754238,306.3058823529412
STK4,47.27335021996896,169.88852941176467
BUB1B,58.74523255679354,162.30611764705876
PASK,59.40370614714802,201.8296470588235
LIMK1,48.68813343637517,191.17523529411767
CDK8,47.811538539798505,156.73882352941172
SCYL1,62.99873323664694,254.34452941176457
DCLK1,64.92876110091387,204.90235294117653
CAMK1D,55.55477098804016,244.28058823529423
MAP3K20,42.22253110970645,206.27705882352933
TESK2,52.57174792859766,204.34570588235283
RIPK3,48.35021821269019,178.51229411764714
PAK3,69.74404556506674,233.077588235294
TAOK1,68.88492523493326,242.66741176470592
MAPKAPK2,46.27385829952822,159.814294117647
CAMK2D,39.85796276733683,173.27411764705883
TSSK3,69.85115628728757,266.6360588235295
BLK,51.382326546823734,229.22223529411764
EPHA7,56.62787372650104,211.65376470588234
RPS6KA1,44.18794003124229,149.21823529411762
MAP3K10,58.48241722756487,213.9871176470587
BRAF,41.955898381278416,151.25411764705882
DMPK,62.42515630645339,219.32123529411766
KSR1,55.011348569427746,198.0904117647059
STK17A,57.555380313923756,184.05676470588213
CDK11A,56.483952294969804,210.14594117647053
CAMK2G,54.50495659067732,191.05264705882357
MAP2K7,44.1626175917069,165.12058823529406
LATS1,45.0380178346016,186.47294117647067
MARK3,40.49681289252023,173.2615294117647
PTK6,43.11962914188615,192.59705882352952
ATR,46.62491308691085,148.03941176470587
MAP2K2,50.03963646994109,191.04505882352942
CDK14,65.86456076319318,231.03829411764698
SRPK2,46.22224866707894,167.70058823529422
TNK2,48.97281142883971,166.5025294117647
AURKB,38.924509438164286,144.03870588235296
SRPK1,47.78648081148764,170.32176470588237
PRKG1,47.08402950015492,184.36058823529402
LRRK1,54.75944917736249,197.8194117647059
PKDCC,80.02568772499231,243.17999999999986
PAK4,41.90828629077364,160.91358823529416
MYLK,68.4974913923488,226.56176470588227
CAMKV,75.7027022623991,230.12941176470588
STK38,44.549175775812195,185.38705882352932
PTK7,63.26214835736627,192.2899411764706
EPHA10,75.31999447490202,319.14941176470575
MAP4K4,59.52640617369861,238.94076470588243
FGFR3,49.2718581247247,174.83588235294124
EIF2AK4,71.097923075496,259.85982352941176
MAP3K14,46.4824847003605,166.0635294117647
CSNK1G1,54.821960649864586,236.5671764705881
MAP3K8,59.061738966520366,189.7031176470588
TIE1,82.86961017172655,261.7325294117648
MAP2K5,53.141828806212324,204.2583529411764
CASK,52.80048898826534,165.51323529411758
CDK19,62.86041282773802,195.10511764705876
RPS6KA3,41.1767598696019,169.73588235294113
TLK2,76.05160387380813,232.99576470588238
PDK1,46.7458978956029,191.9194117647059
PIK3CB,54.98210491237305,217.37523529411774
STYK1,53.82067482515964,220.60705882352948
WEE1,52.9217558832612,201.26817647058812
PRPF4B,56.04132612563024,208.65852941176465
CDC42BPB,69.57359617801114,256.35664705882346
ERN1,62.51366796278638,216.36970588235286
MAST2,65.64024390395174,231.33941176470591
CDK15,60.01522412157342,210.49729411764702
SGK1,45.357917540446955,157.96705882352938
CDK7,48.21899724270755,154.48823529411754
CLK1,54.582196855168576,193.22111764705872
RIOK3,75.44540812468703,249.53999999999985
RIOK1,62.35494921828832,205.45423529411775
CSNK1A1L,74.15321401180493,269.4980588235292
MAPK7,42.96553773256885,162.88588235294114
EPHA8,76.98763626470274,276.5023529411764
PRKCH,54.32192399824279,214.50941176470602
PBK,45.176347442618436,210.74470588235297
PIK3C2G,83.83352280477058,251.7950000000002
PRKD2,46.281775945855856,177.67382352941172
CDK18,54.37095686441014,216.4230588235294
NEK7,73.96039433633624,246.06470588235294
RPS6KA5,43.455825618047896,171.72282352941164
MAPK11,44.45066434372694,165.69941176470584
CSNK2A3,86.26789607666694,223.22723529411758
MAPK6,43.1511572911505,169.5617647058823
ALPK3,91.55533156006128,348.496294117647
INSRR,74.38650641702456,281.99058823529407
SRPK3,90.92449049134308,236.4341176470587
CDK16,52.517621725626306,206.64999999999986
PIP5K1A,80.61634463576848,229.67558823529424
AAK1,69.52974902075847,224.51547058823527
PRKACB,43.53800450905738,172.24023529411764
GAK,62.000219117652826,200.39788235294117
RIPK4,48.05105954398598,207.13211764705878
MARK4,60.15633448626612,220.6545882352941
PAN3,94.66820056788275,306.01376470588247
MAP3K6,72.92568852837302,252.38
FRK,60.94491784503596,238.8164705882354
ROR1,60.06741810432802,218.5898235294118
PIK3CG,59.52991166296208,210.22394117647045
MAP2K3,52.31058661689114,187.33447058823535
AMHR2,77.73407556089316,307.16235294117644
PNCK,60.91477782097517,255.43705882352947
PIP4K2C,85.65648422995754,234.48588235294116
MAP3K4,54.33749057207857,206.61847058823525
NIM1K,62.19834403010274,245.54382352941192
MAPKAPK3,48.22055468650562,217.94147058823523
POMK,89.93476373984579,259.9055882352944
CAMK1,48.55972086210299,208.5148235294117
PIK3CD,72.76733664233423,226.32258823529406
STK35,66.9435341084666,305.8519411764706
TEK,59.73699172059107,211.0437647058824
IRAK2,57.63305723390007,188.68329411764682
PRKD3,80.03164131585093,259.5956470588235
MAP3K21,73.22257283841455,233.2350000000001
EEF2K,58.70966846627666,217.57700000000006
CDK20,59.15595388689132,234.133705882353
CSF1R,61.823130398925,224.04649999999998
CDK12,53.269426892201494,230.11076470588236
MKNK1,52.31959281195097,184.74494117647052
MAPKAPK5,51.628219483042514,201.5505882352941
SCYL3,78.68886932240434,286.564705882353
RPS6KA2,49.68435064016267,196.0205294117646
MAP2K4,45.81747718024043,170.01047058823534
CAMKK1,49.22145980564309,207.79747058823546
DYRK2,45.52951101733029,172.1841176470589
MAP3K3,51.48949017828831,171.03923529411767
TRIB2,63.79482198222534,230.81682352941178
SRMS,63.34973797716251,285.67999999999995
VRK1,52.036151002338585,205.67352941176475
PIM2,53.13059886349349,226.85870588235292
COQ8A,77.77755213255739,272.61764705882365
RPS6KA4,55.4683217894111,228.16476470588236
KSR2,60.36391528647018,217.64747058823517
STK40,52.74947778785823,225.0588235294118
TLK1,66.09469651882114,247.6421176470588
PLK3,50.532473332707355,200.83294117647063
MAP4K2,56.388238941457466,205.65570588235292
MAP2K6,49.00149333553445,205.70999999999995
MELK,64.42982496620469,237.3218235294119
COQ8B,87.8355898605676,278.6100000000004
PIP5K1C,78.59741349481662,240.01117647058825
PAK5,55.37068345938567,225.59047058823523
MYLK2,57.207989470515514,254.69382352941184
IRAK4,64.2469589297652,219.7825882352942
PIK3R4,66.91917120472105,244.95535294117659
NRBP1,69.97472565700211,230.47076470588243
SMG1,59.3732326999223,224.93494117647066
TYRO3,57.90502664209007,249.29741176470603
NEK3,72.79818233036892,258.3594705882352
ERN2,79.53816169543597,270.12529411764706
RIOK2,78.9111005847025,236.61611764705884
LIMK2,48.666936832278296,219.52088235294102
UHMK1,49.895222765170004,265.22764705882355
CDKL5,61.233868067859596,256.5572941176471
ROS1,78.70806233006608,297.2815294117646
MLKL,83.92833356174653,283.08647058823516
DAPK3,56.74883097400435,215.50235294117653
STK39,72.31836958206404,208.96347058823525
NEK8,56.628586258403786,245.24782352941202
STK38L,44.45189056340162,239.00411764705885
ADCK1,91.3757441018326,273.4041176470591
PKMYT1,66.19318473483025,237.37552941176477
HIPK3,56.54471556249847,212.77694117647056
PIP5K1B,90.81289323928286,256.69117647058835
MAST1,49.913370487002595,226.5779999999999
DDR2,68.57315103458781,279.15529411764714
TEX14,89.12674546777968,325.2151176470587
PDPK2P,141.59230003488227,282.7470588235294
PHKG1,70.03086276027761,294.4835294117646
NEK1,67.85634651535634,252.97688235294112
ULK2,70.47332725259616,231.79582352941176
CLK3,52.396231028284575,207.92135294117645
HIPK1,57.023507830125205,223.7751176470588
PLK2,47.157272440385135,200.94635294117631
DYRK4,70.07125630973745,238.15205882352942
MAP4K5,59.2492554350993,225.02117647058827
STK33,75.77354383270546,273.5059411764706
MAP3K2,52.06000410434328,193.246588235294
MUSK,73.08026299012057,276.79941176470595
NUAK1,51.32590956515595,231.29882352941192
MKNK2,62.25048681584432,224.5366470588236
VRK3,54.63399988663603,248.98823529411766
PRKY,79.69022772447683,254.85588235294125
NPR2,64.6996182756565,246.53511764705854
DSTYK,67.71821388030092,259.4744705882353
AURKC,57.80739279821135,228.77005882352935
NRBP2,70.1936380584272,292.2147058823532
NUAK2,75.59910780748574,262.3658823529413
SBK3,101.4379875232849,353.07235294117663
AKT3,55.13660021805829,219.6870588235293
DYRK3,46.09347567526195,261.51176470588257
GRK4,67.098082718436,316.3823529411765
ANKK1,87.26654390476223,294.4496470588235
SIK1,53.899675032745535,246.75405882352956
STRADB,90.1967480580681,293.1435294117647
TP53RK,61.059833933980244,244.90288235294113
CDK13,69.28488805787151,224.33294117647054
BRSK1,53.17817813731004,297.7317647058826
MAST4,74.70260016088513,309.2611764705885
STK31,93.77746727847064,343.7213529411766
BCKDK,76.94730989022393,279.0013529411765
HASPIN,77.79312499990125,267.75529411764705
CAMK1G,80.51821300691329,320.3611764705883
STK36,79.07452650533648,265.99770588235316
HIPK4,65.64588771612121,220.84252941176473
OXSR1,53.6727308373096,220.26829411764712
MAPK15,54.27331094977941,226.925705882353
LMTK2,64.33274487785337,242.42582352941182
MAP3K13,68.58525347484067,267.076588235294
SBK1,102.62469219933382,336.4835294117652
MAP3K9,65.46564441238833,309.37588235294163
CDK10,77.04203782393118,267.2423529411763
PXK,69.24197681287775,255.9649411764706
RPS6KA6,64.17614553743833,213.29841176470595
MOK,70.15490452285717,263.99529411764706
ADCK2,90.62318677135117,305.2932352941181
MYO3A,60.40131375884091,269.0105882352943
OBSCN,68.11523671915593,250.0533529411765
ICK,60.33421999912559,250.1137647058823
MINK1,78.71559338391668,245.43858823529402
CDC42BPG,81.49279008456814,307.1648235294118
MERTK,69.90963502258182,274.5419411764703
PDIK1L,65.58104921666934,316.5711764705881
NEK10,78.78918380318291,258.4976470588236
TESK1,82.20993147848064,276.82217647058815
PIM3,72.52012724205342,300.23705882352976
WEE2,102.59928002039342,290.33235294117645
CDKL3,68.73026672087376,275.37529411764723
RNASEL,74.60938562440354,261.3929411764705
TSSK4,89.95668735140114,272.18958823529385
MAP4K3,70.50878991250072,257.3964705882354
PDK3,82.26594657505201,268.4647058823528
FASTK,82.46206887511336,282.93817647058825
CDK17,69.10931777853712,244.17517647058816
PDK4,80.7111854257931,334.8929411764706
TRIO,66.3522620831445,227.86800000000002
TRIB1,65.44708779145849,267.98117647058837
SIK2,66.78499014866796,241.91511764705888
SGK3,64.78840624243998,250.8727647058826
PRKACG,61.85528706286678,228.97805882352938
MAK,81.0933709075619,256.7882352941178
SNRK,68.31549261442902,286.0611764705882
PDK2,92.86395936112591,276.2849999999999
MAP3K12,84.22097881992767,253.3984705882352
TSSK6,75.21237862735921,281.6678235294118
NEK5,116.63154384872055,278.18823529411765
PRKX,62.894583676115154,248.37464705882377
TTBK1,73.12213218573497,298.60923529411775
SIK3,96.12682378662709,286.5882352941177
SPEG,78.65444160900402,297.85529411764696
MARK1,86.19947925568097,274.2348823529413
GRK1,71.83235577826377,312.5378235294117
EIF2AK1,75.98208562611765,264.82000000000005
TTBK2,90.73230577266798,278.4929411764706
WNK4,86.66221373744555,287.8733529411764
GUCY2F,92.50077931687404,237.8851764705883
ADCK5,95.1517897150277,328.10705882352977
PRKG2,69.19562980132856,282.07535294117673
HUNK,83.36268923207899,320.70882352941175
CDKL1,99.26807847713326,307.4891176470591
ALPK2,113.10441288654492,336.06470588235294
MASTL,92.7044127786004,276.6158823529415
GUCY2D,79.85746771167531,282.5447058823529
PLK5,81.78599523665396,245.88488235294122
BRSK2,72.15029721428726,324.5502352941176
NPR1,88.33344664415345,272.06100000000004
SBK2,114.18190127375432,312.24117647058824
TSSK1B,72.52182238397963,284.9600000000003
GRK7,77.23227878858572,315.0235294117651
MYO3B,79.58188933194218,299.19294117647047
ULK3,78.9473634846879,316.23999999999995
SLK,84.91686157291946,269.2141176470592
RPS6KC1,80.20981643340077,332.47529411764714
MAP3K15,92.35705296052046,351.3314705882357
MYLK3,97.39873328430969,342.23176470588277
MAPK4,82.41685148249421,271.96723529411776
WNK2,84.55802028365899,301.62470588235294
TSSK2,85.49638706915962,289.9541176470589
CLK4,71.52169538663127,289.2967058823529
STK17B,90.9774083063325,273.9194117647062
RPS6KL1,84.59454476130705,287.68299999999994
TAOK3,78.0428261236293,326.2964705882354
NEK11,84.55524744108129,302.9599999999999
STRADA,84.85449096931158,318.921176470588
PEAK1,104.399961271152,255.14088235294133
GUCY2C,95.79024951860578,244.35205882352943
PSKH2,101.49661643757918,318.9176470588239
WNK3,102.46189705649749,336.2664705882357
DAPK2,90.11079265989143,310.3444117647064
MAP3K19,86.01818312782017,269.26529411764704
TRPM6,99.94730935516613,331.61999999999995
NRK,81.18446147231164,325.68664705882344
ALPK1,100.3383093534682,381.26941176470604
TBCK,93.43375465284306,350.20058823529456
STK32A,83.87835051429097,308.4711764705884
ULK4,93.80659047735257,353.62176470588287
DCLK3,82.4747334419302,330.8341176470587
PSKH1,82.54680889008341,343.67441176470624
MYLK4,84.32810436801904,365.9502941176477
CDKL2,95.51643481555774,337.6223529411768
PRAG1,152.3878760777772,303.0176470588235
STK32B,80.615293305879,300.4799999999999
STK32C,84.07782158300786,323.7164705882353
CDKL4,98.01150944343091,335.62558823529474
RSKR,163.4456334024111,334.93529411764706
